EventTypeName,Cluster no,Message,Timestamp,Status
SAM Monitor Down,3,"Component ""Error and Warning Events: SMS Server"" for application ""Microsoft System Center Configuration Manager Related Services"" on node ""ISDBPRCCM01"" is down",2025-02-18 00:15:31,down
SAM Application Down,3,"Application ""Microsoft System Center Configuration Manager Related Services"" on node ""ISDBPRCCM01"" is down",2025-02-18 00:15:31,down
Interface Down,3,DHA-HO-MDF-FSN-SW-01.dha.ae - TwentyFiveGigE2/0/12 · +++ DHA-HO-MDF-FW-02 MGT +++ Down,2025-02-18 00:15:31,down
Interface Down,3,TCS-GM-SW6 - port9(primary) · port9 Down,2025-02-18 00:15:31,down
Node Down,3,Greens-60F has stopped responding (Request Timed Out),2025-02-18 00:15:31,down
Interface Down,3,DHA-HO-MDF-FSN-SW-01.dha.ae - TwentyFiveGigE2/0/44 · +++ DHA-HO-MDF-FW-02 E1/10 +++ Down,2025-02-18 00:15:31,down
Interface Down,3,DHA-HO-MDF-FSN-SW-01.dha.ae - TwentyFiveGigE2/0/46 · +++ DHA-HO-MDF-FW-02 E1/12 +++ Down,2025-02-18 00:15:31,down
Interface Down,3,DHA-HO-MDF-FSN-SW-01.dha.ae - TwentyFiveGigE1/0/46 · +++ DHA-HO-MDF-FW-02 E1/11 +++ Down,2025-02-18 00:15:31,down
Interface Down,3,DHA-HO-MDF-FSN-SW-01.dha.ae - Port-channel13 · +++ DHA-HO-MDF-FW-02 USER Trunk +++ Down,2025-02-18 00:15:31,down
Interface Down,3,DHA-HO-MDF-FSN-SW-01.dha.ae - Port-channel15 · +++ DHA-HO-MDF-FW-02 DMZ Trunk +++ Down,2025-02-18 00:15:31,down
Interface Down,3,DHA-HO-MDF-FSN-SW-01.dha.ae - TwentyFiveGigE2/0/12 · +++ DHA-HO-MDF-FW-02 MGT +++ Down,2025-02-18 00:15:31,down
Interface Down,3,DHA-HO-MDF-FSN-SW-01.dha.ae - TwentyFiveGigE1/0/44 · +++ DHA-HO-MDF-FW-02 E1/9 +++ Down,2025-02-18 00:15:31,down
Node Down,3,auhdwhdb has stopped responding (),2025-02-18 00:15:31,down
SAM Application Down,3,"Application ""AIX"" on node ""AUHDWHDB"" is in an unknown state",2025-02-18 00:15:31,down
SAM Monitor Down,3,"Component ""Top 10 active processes"" for application ""AIX"" on node ""AUHDWHDB"" is in an unknown state",2025-02-18 00:15:31,down
Interface Down,3,DHA-HO-MDF-FSN-SW-01.dha.ae - Port-channel14 · +++ DHA-HO-MDF-FW-01 DMZ Trunk +++ Down,2025-02-18 00:15:31,down
Interface Down,3,DHA-HO-MDF-FSN-SW-01.dha.ae - Port-channel12 · +++ DHA-HO-MDF-FW-01 USER Trunk +++ Down,2025-02-18 00:15:31,down
Interface Down,3,DHA-HO-MDF-FSN-SW-01.dha.ae - TwentyFiveGigE1/0/12 · +++ DHA-HO-MDF-FW-01 MGT +++ Down,2025-02-18 00:15:31,down
Interface Down,3,DHA-HO-MDF-FSN-SW-01.dha.ae - TwentyFiveGigE1/0/45 · +++ DHA-HO-MDF-FW-01 E1/11 +++ Down,2025-02-18 00:15:31,down
Interface Down,3,DHA-HO-MDF-FSN-SW-01.dha.ae - TwentyFiveGigE1/0/43 · +++ DHA-HO-MDF-FW-01 E1/9 +++ Down,2025-02-18 00:15:31,down
Interface Down,3,DHA-HO-MDF-FSN-SW-01.dha.ae - TwentyFiveGigE2/0/43 · +++ DHA-HO-MDF-FW-01 E1/10 +++ Down,2025-02-18 00:15:31,down
Interface Down,3,DHA-HO-MDF-FSN-SW-01.dha.ae - TwentyFiveGigE2/0/45 · +++ DHA-HO-MDF-FW-01 E1/12 +++ Down,2025-02-18 00:15:31,down
